method,Output,nCell,ARI.RNA,ARI level 1.RNA,AMI.RNA,AMI level 1.RNA,graph cLISI.RNA,graph cLISI level 1.RNA,isolated labels ASW.RNA,isolated labels ASW level 1.RNA,ARI.ATAC,ARI level 1.ATAC,AMI.ATAC,AMI level 1.ATAC,graph cLISI.ATAC,graph cLISI level 1.ATAC,isolated labels ASW.ATAC,isolated labels ASW level 1.ATAC,FOSCTTM,Cell match,Cell type match,Cell type level 1 match,RNA,ATAC
MaxFuse,Embedding,6924,0.666,0.664,0.755,0.737,0.968,0.967,0.562,0.533,0.519,0.49,0.685,0.657,0.975,0.979,0.508,0.632,0.163,0.004,0.693,0.811,100,50
MultiMAP,Embedding,6924,0.256,0.235,0.574,0.554,0.971,0.978,0.561,0.512,0.251,0.249,0.523,0.523,0.959,0.964,0.437,0.599,0.153,0.002,0.571,0.748,100,50
Pamona,Embedding,6924,0.105,0.104,0.312,0.308,0.878,0.811,0.493,0.465,0.008,0.008,0.036,0.028,0.703,0.481,0.459,0.489,0.509,0,0.077,0.113,100,50
SCALEX,Embedding,6924,0.496,0.51,0.659,0.638,0.966,0.966,0.61,0.523,0.398,0.453,0.548,0.566,0.938,0.925,0.461,0.528,0.139,0.003,0.534,0.728,100,50
Seurat v3 CCA,Embedding,6924,0.473,0.441,0.664,0.63,0.968,0.968,0.593,0.531,0.354,0.315,0.642,0.612,0.977,0.984,0.413,0.517,0.084,0.004,0.662,0.812,100,50
Seurat v4 RPCA,Embedding,6924,0.428,0.399,0.666,0.633,0.967,0.971,0.59,0.53,0.301,0.277,0.583,0.562,0.968,0.976,0.413,0.482,0.118,0.004,0.613,0.775,100,50
SIMBA,Embedding,6924,0.619,0.555,0.747,0.695,0.981,0.981,0.563,0.517,0.518,0.585,0.647,0.661,0.96,0.964,0.517,0.559,0.11,0.002,0.554,0.747,100,50
unionCom,Embedding,6924,0.382,0.321,0.672,0.623,0.982,0.99,0.399,0.534,0.401,0.418,0.627,0.634,0.965,0.973,0.343,0.588,0.044,0.005,0.663,0.812,100,50
uniPort,Embedding,6924,0.505,0.528,0.621,0.623,0.961,0.959,0.467,0.476,0.608,0.59,0.737,0.704,0.977,0.982,0.57,0.508,0.106,0.005,0.663,0.81,100,50
bindSC,Embedding,6924,0.392,0.444,0.574,0.592,0.945,0.936,0.465,0.401,0.333,0.336,0.582,0.586,0.962,0.975,0.563,0.588,0.122,0.002,0.481,0.67,100,75
GLUE,Embedding,6924,0.63,0.554,0.758,0.703,0.984,0.988,0.52,0.507,0.639,0.585,0.744,0.705,0.978,0.984,0.419,0.506,0.039,0.015,0.751,0.858,100,75
LIGER iNMF,Embedding,6924,0.538,0.474,0.711,0.667,0.982,0.985,0.583,0.527,0.497,0.607,0.625,0.655,0.953,0.951,0.418,0.461,0.319,0.001,0.243,0.471,100,75
LIGER online iNMF,Embedding,6924,0.427,0.428,0.628,0.613,0.958,0.949,0.534,0.514,0.421,0.525,0.541,0.583,0.938,0.907,0.488,0.466,0.268,0.001,0.377,0.563,100,75
LIGER UINMF,Embedding,6924,0.469,0.445,0.683,0.655,0.983,0.985,0.515,0.501,0.423,0.521,0.595,0.632,0.947,0.943,0.463,0.519,0.435,0.001,0.137,0.23,100,75
MaxFuse,Embedding,6924,0.68,0.65,0.758,0.734,0.97,0.969,0.577,0.553,0.531,0.482,0.69,0.657,0.975,0.981,0.514,0.632,0.149,0.006,0.682,0.806,100,75
MultiMAP,Embedding,6924,0.274,0.237,0.595,0.569,0.97,0.976,0.534,0.545,0.25,0.251,0.531,0.536,0.958,0.969,0.479,0.592,0.152,0.003,0.572,0.756,100,75
Pamona,Embedding,6924,0.105,0.103,0.32,0.317,0.875,0.816,0.496,0.467,0.01,0.009,0.041,0.033,0.726,0.514,0.467,0.485,0.509,0,0.065,0.098,100,75
SCALEX,Embedding,6924,0.578,0.553,0.698,0.67,0.97,0.972,0.625,0.519,0.484,0.542,0.597,0.616,0.949,0.942,0.498,0.525,0.129,0.004,0.577,0.755,100,75
Seurat v3 CCA,Embedding,6924,0.453,0.42,0.662,0.621,0.97,0.973,0.592,0.53,0.399,0.352,0.659,0.627,0.979,0.985,0.38,0.55,0.081,0.004,0.668,0.82,100,75
Seurat v4 RPCA,Embedding,6924,0.409,0.372,0.652,0.612,0.969,0.975,0.589,0.53,0.292,0.281,0.585,0.57,0.971,0.979,0.416,0.471,0.108,0.004,0.63,0.787,100,75
SIMBA,Embedding,6924,0.575,0.504,0.726,0.673,0.981,0.982,0.567,0.515,0.527,0.617,0.661,0.687,0.966,0.972,0.548,0.559,0.107,0.003,0.578,0.769,100,75
unionCom,Embedding,6924,0.404,0.345,0.686,0.639,0.983,0.989,0.387,0.513,0.425,0.426,0.645,0.641,0.967,0.978,0.302,0.554,0.043,0.006,0.663,0.817,100,75
uniPort,Embedding,6924,0.576,0.566,0.657,0.65,0.958,0.96,0.484,0.487,0.564,0.53,0.729,0.69,0.977,0.976,0.569,0.513,0.09,0.006,0.672,0.813,100,75
bindSC,Embedding,6924,0.178,0.23,0.281,0.297,0.872,0.804,0.446,0.4,0.317,0.317,0.568,0.563,0.959,0.964,0.553,0.591,0.213,0.001,0.326,0.487,10,100
GLUE,Embedding,6924,0.47,0.548,0.609,0.62,0.946,0.933,0.475,0.482,0.606,0.599,0.727,0.71,0.97,0.974,0.459,0.496,0.087,0.004,0.621,0.766,10,100
LIGER iNMF,Embedding,6924,0.113,0.121,0.218,0.207,0.842,0.725,0.377,0.415,0.17,0.222,0.217,0.236,0.832,0.721,0.465,0.428,0.372,0,0.193,0.305,10,100
LIGER online iNMF,Embedding,6924,0.1,0.13,0.181,0.183,0.831,0.717,0.402,0.369,0.123,0.163,0.185,0.201,0.805,0.678,0.42,0.433,0.41,0,0.2,0.319,10,100
LIGER UINMF,Embedding,6924,0.145,0.161,0.228,0.228,0.839,0.725,0.295,0.35,0.412,0.521,0.532,0.572,0.915,0.887,0.49,0.475,0.399,0,0.174,0.278,10,100
MaxFuse,Embedding,6924,0.391,0.465,0.506,0.528,0.894,0.837,0.597,0.482,0.541,0.496,0.695,0.667,0.978,0.984,0.529,0.632,0.291,0.001,0.557,0.704,10,100
MultiMAP,Embedding,6924,0.215,0.227,0.46,0.465,0.935,0.921,0.635,0.513,0.209,0.208,0.48,0.478,0.949,0.954,0.529,0.6,0.211,0.002,0.405,0.585,10,100
Pamona,Embedding,6924,0.014,0.016,0.055,0.053,0.716,0.49,0.524,0.488,0.006,0.005,0.032,0.023,0.695,0.458,0.471,0.535,0.499,0,0.104,0.164,10,100
SCALEX,Embedding,6924,0.254,0.334,0.389,0.419,0.896,0.844,0.661,0.55,0.449,0.569,0.578,0.615,0.946,0.937,0.486,0.495,0.225,0.001,0.419,0.609,10,100
Seurat v3 CCA,Embedding,6924,0.314,0.406,0.396,0.428,0.877,0.795,0.468,0.497,0.383,0.351,0.653,0.626,0.977,0.984,0.477,0.552,0.215,0.001,0.562,0.714,10,100
Seurat v4 RPCA,Embedding,6924,0.307,0.39,0.384,0.416,0.873,0.786,0.467,0.498,0.327,0.312,0.592,0.584,0.97,0.98,0.443,0.557,0.221,0.001,0.542,0.694,10,100
SIMBA,Embedding,6924,0.345,0.466,0.462,0.497,0.925,0.876,0.497,0.485,0.503,0.553,0.612,0.623,0.952,0.96,0.543,0.52,0.182,0.001,0.425,0.611,10,100
unionCom,Embedding,6924,0.12,0.127,0.246,0.25,0.858,0.745,0.474,0.465,0.178,0.185,0.303,0.312,0.887,0.834,0.48,0.497,0.383,0.001,0.192,0.302,10,100
uniPort,Embedding,6924,0.476,0.579,0.611,0.649,0.937,0.914,0.463,0.46,0.362,0.503,0.488,0.538,0.88,0.811,0.501,0.479,0.25,0.002,0.502,0.664,10,100
bindSC,Embedding,6924,0.126,0.155,0.238,0.246,0.853,0.765,0.389,0.414,0.268,0.302,0.503,0.528,0.94,0.913,0.536,0.581,0.251,0.001,0.262,0.434,10,10
GLUE,Embedding,6924,0.443,0.6,0.605,0.658,0.924,0.881,0.517,0.5,0.461,0.594,0.621,0.657,0.94,0.918,0.516,0.518,0.162,0.002,0.518,0.706,10,10
LIGER iNMF,Embedding,6924,0.123,0.151,0.219,0.22,0.855,0.742,0.394,0.382,0.014,0.016,0.034,0.034,0.727,0.523,0.439,0.451,0.436,0.001,0.171,0.272,10,10
LIGER online iNMF,Embedding,6924,0.08,0.107,0.172,0.172,0.827,0.709,0.406,0.371,0.016,0.019,0.037,0.039,0.712,0.511,0.477,0.412,0.462,0,0.166,0.262,10,10
LIGER UINMF,Embedding,6924,0.099,0.12,0.172,0.168,0.832,0.709,0.397,0.383,0.01,0.011,0.025,0.026,0.716,0.495,0.436,0.425,0.459,0,0.163,0.263,10,10
MaxFuse,Embedding,6924,0.351,0.411,0.414,0.436,0.846,0.734,0.579,0.482,0.338,0.438,0.511,0.549,0.932,0.896,0.508,0.616,0.338,0.001,0.391,0.565,10,10
MultiMAP,Embedding,6924,0.179,0.193,0.447,0.455,0.92,0.886,0.46,0.541,0.185,0.207,0.406,0.416,0.92,0.879,0.523,0.56,0.213,0.001,0.386,0.576,10,10
Pamona,Embedding,6924,0.006,0.005,0.019,0.016,0.685,0.437,0.512,0.493,0.005,0.004,0.03,0.022,0.673,0.435,0.467,0.498,0.501,0,0.093,0.147,10,10
SCALEX,Embedding,6924,0.256,0.346,0.357,0.388,0.89,0.826,0.595,0.547,0.208,0.27,0.287,0.319,0.848,0.752,0.502,0.535,0.299,0.001,0.306,0.467,10,10
Seurat v3 CCA,Embedding,6924,0.313,0.386,0.391,0.417,0.87,0.773,0.469,0.497,0.313,0.351,0.537,0.543,0.947,0.933,0.462,0.511,0.308,0.001,0.396,0.565,10,10
Seurat v4 RPCA,Embedding,6924,0.318,0.403,0.392,0.417,0.879,0.792,0.468,0.498,0.221,0.244,0.469,0.486,0.924,0.893,0.466,0.54,0.27,0.001,0.397,0.565,10,10
SIMBA,Embedding,6924,0.296,0.352,0.384,0.398,0.896,0.833,0.509,0.493,0.181,0.242,0.244,0.263,0.855,0.765,0.456,0.508,0.307,0.001,0.312,0.472,10,10
unionCom,Embedding,6924,0.126,0.133,0.246,0.247,0.858,0.741,0.448,0.45,0.08,0.088,0.136,0.138,0.802,0.676,0.446,0.509,0.462,0,0.107,0.145,10,10
uniPort,Embedding,6924,0.281,0.358,0.352,0.385,0.865,0.788,0.456,0.464,0.395,0.487,0.506,0.543,0.893,0.834,0.516,0.477,0.302,0.001,0.382,0.559,10,10
bindSC,Embedding,6924,0.279,0.37,0.449,0.474,0.923,0.892,0.371,0.401,0.345,0.362,0.591,0.6,0.959,0.974,0.552,0.58,0.15,0.002,0.421,0.622,25,100
GLUE,Embedding,6924,0.574,0.62,0.712,0.7,0.97,0.975,0.51,0.495,0.69,0.7,0.763,0.761,0.975,0.978,0.459,0.5,0.057,0.01,0.71,0.826,25,100
LIGER iNMF,Embedding,6924,0.404,0.457,0.564,0.57,0.944,0.917,0.541,0.495,0.417,0.511,0.519,0.559,0.916,0.877,0.449,0.446,0.234,0.001,0.38,0.558,25,100
LIGER online iNMF,Embedding,6924,0.351,0.43,0.489,0.509,0.927,0.885,0.428,0.468,0.298,0.435,0.413,0.457,0.894,0.84,0.444,0.457,0.287,0.001,0.371,0.558,25,100
LIGER UINMF,Embedding,6924,0.385,0.415,0.489,0.495,0.931,0.9,0.549,0.459,0.38,0.478,0.577,0.62,0.94,0.934,0.451,0.51,0.471,0,0.11,0.166,25,100
MaxFuse,Embedding,6924,0.527,0.513,0.63,0.617,0.949,0.928,0.574,0.531,0.559,0.51,0.701,0.662,0.979,0.98,0.515,0.636,0.209,0.003,0.647,0.776,25,100
MultiMAP,Embedding,6924,0.249,0.244,0.537,0.531,0.955,0.96,0.362,0.533,0.219,0.218,0.489,0.486,0.951,0.96,0.436,0.619,0.179,0.002,0.519,0.7,25,100
Pamona,Embedding,6924,0.03,0.036,0.117,0.115,0.745,0.546,0.413,0.508,0.01,0.01,0.05,0.042,0.724,0.51,0.48,0.501,0.497,0,0.103,0.178,25,100
SCALEX,Embedding,6924,0.37,0.418,0.545,0.555,0.942,0.919,0.612,0.529,0.517,0.617,0.627,0.659,0.95,0.944,0.492,0.507,0.167,0.002,0.506,0.7,25,100
Seurat v3 CCA,Embedding,6924,0.403,0.489,0.542,0.567,0.927,0.886,0.517,0.501,0.411,0.364,0.661,0.626,0.98,0.987,0.432,0.533,0.131,0.003,0.63,0.762,25,100
Seurat v4 RPCA,Embedding,6924,0.406,0.456,0.549,0.552,0.93,0.889,0.515,0.5,0.316,0.29,0.602,0.579,0.971,0.974,0.438,0.525,0.153,0.003,0.595,0.74,25,100
SIMBA,Embedding,6924,0.515,0.554,0.65,0.637,0.952,0.946,0.55,0.503,0.518,0.607,0.637,0.662,0.956,0.959,0.526,0.553,0.138,0.003,0.513,0.696,25,100
unionCom,Embedding,6924,0.321,0.342,0.482,0.478,0.939,0.897,0.396,0.482,0.162,0.177,0.29,0.302,0.892,0.845,0.484,0.496,0.35,0,0.193,0.254,25,100
uniPort,Embedding,6924,0.518,0.533,0.641,0.635,0.958,0.949,0.48,0.489,0.491,0.556,0.639,0.644,0.948,0.93,0.556,0.51,0.13,0.004,0.608,0.757,25,100
bindSC,Embedding,6924,0.26,0.336,0.412,0.424,0.911,0.87,0.345,0.421,0.335,0.349,0.57,0.582,0.957,0.966,0.554,0.572,0.164,0.001,0.399,0.575,25,25
GLUE,Embedding,6924,0.591,0.572,0.724,0.69,0.965,0.967,0.523,0.498,0.605,0.655,0.727,0.737,0.967,0.972,0.434,0.51,0.071,0.006,0.676,0.81,25,25
LIGER iNMF,Embedding,6924,0.377,0.413,0.565,0.566,0.948,0.925,0.518,0.507,0.237,0.289,0.274,0.291,0.856,0.782,0.405,0.433,0.299,0.001,0.307,0.495,25,25
LIGER online iNMF,Embedding,6924,0.427,0.486,0.506,0.519,0.922,0.882,0.429,0.475,0.156,0.195,0.197,0.21,0.821,0.699,0.405,0.43,0.348,0.001,0.314,0.482,25,25
LIGER UINMF,Embedding,6924,0.426,0.472,0.501,0.516,0.932,0.903,0.493,0.465,0.235,0.298,0.282,0.308,0.851,0.781,0.412,0.471,0.337,0.001,0.288,0.467,25,25
MaxFuse,Embedding,6924,0.486,0.556,0.616,0.629,0.917,0.868,0.57,0.506,0.428,0.471,0.621,0.626,0.96,0.969,0.542,0.652,0.263,0.002,0.55,0.728,25,25
MultiMAP,Embedding,6924,0.212,0.216,0.526,0.523,0.954,0.952,0.493,0.551,0.217,0.223,0.479,0.482,0.949,0.944,0.463,0.607,0.174,0.002,0.486,0.679,25,25
Pamona,Embedding,6924,0.021,0.023,0.084,0.079,0.736,0.525,0.4,0.489,0.005,0.004,0.029,0.022,0.69,0.455,0.464,0.506,0.501,0,0.089,0.154,25,25
