method,Output,nCell,Batch ASW batch,Batch ASW site,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1,RNA,ATAC
scMVP,Embedding,6924,0.888,0.881,0.963,0.97,0.209,0.614,0.55,0.729,0.695,0.977,0.984,0.622,0.515,75,100
Seurat v4 WNN,Graph,6924,NA,NA,0.982,0.981,0.272,0.578,0.482,0.733,0.673,0.986,0.987,NA,NA,75,100
uniPort,Embedding,6924,0.812,0.9,0.671,0.847,0.385,0.262,0.311,0.47,0.507,0.93,0.902,0.498,0.459,75,100
cobolt,Embedding,6924,0.817,0.853,0.895,0.941,0.284,0.345,0.376,0.569,0.572,0.952,0.949,0.422,0.612,75,75
DCCA,Embedding,6924,0.831,0.861,0.935,0.965,0.256,0.514,0.521,0.662,0.645,0.97,0.976,0.624,0.578,75,75
MOFA+,Embedding,6924,0.857,0.851,0.941,0.98,0.255,0.412,0.354,0.642,0.602,0.969,0.973,0.549,0.607,75,75
Multigrate,Embedding,6924,0.828,0.907,0.861,0.922,0.361,0.539,0.504,0.69,0.66,0.978,0.984,0.371,0.444,75,75
MultiVI,Embedding,6924,0.776,0.857,0.906,0.943,0.283,0.316,0.312,0.584,0.57,0.959,0.957,0.37,0.613,75,75
scAI,Embedding,6924,0.885,0.855,0.941,0.953,0.208,0.489,0.449,0.687,0.647,0.977,0.977,0.643,0.557,75,75
scDEC,Embedding,6924,0.85,0.875,0.846,0.882,0.237,0.341,0.402,0.571,0.582,0.952,0.949,0.461,0.493,75,75
scMDC,Embedding,6924,0.881,0.9,0.941,0.929,0.278,0.588,0.561,0.715,0.685,0.978,0.982,0.343,0.481,75,75
scMVAE,Embedding,6924,0.867,0.878,0.981,0.99,0.227,0.421,0.448,0.627,0.618,0.957,0.948,0.685,0.622,75,75
scMVP,Embedding,6924,0.888,0.881,0.959,0.973,0.2,0.496,0.488,0.702,0.681,0.976,0.984,0.604,0.51,75,75
Seurat v4 WNN,Graph,6924,NA,NA,0.985,0.982,0.269,0.579,0.488,0.732,0.678,0.986,0.987,NA,NA,75,75
uniPort,Embedding,6924,0.852,0.89,0.739,0.856,0.373,0.332,0.397,0.527,0.554,0.938,0.913,0.477,0.473,75,75
cobolt,Embedding,6924,0.82,0.856,0.877,0.929,0.297,0.347,0.407,0.576,0.588,0.954,0.953,0.463,0.606,100,100
DCCA,Embedding,6924,0.829,0.839,0.931,0.963,0.234,0.436,0.441,0.648,0.625,0.968,0.976,0.619,0.617,100,100
MOFA+,Embedding,6924,0.84,0.84,0.904,0.941,0.259,0.324,0.386,0.576,0.594,0.956,0.968,0.713,0.538,100,100
Multigrate,Embedding,6924,0.824,0.928,0.924,0.961,0.44,0.435,0.427,0.663,0.645,0.976,0.981,0.4,0.458,100,100
MultiVI,Embedding,6924,0.794,0.852,0.922,0.942,0.263,0.341,0.355,0.581,0.575,0.956,0.948,0.605,0.627,100,100
scAI,Embedding,6924,0.865,0.85,0.951,0.974,0.195,0.469,0.416,0.681,0.642,0.977,0.98,0.663,0.555,100,100
scDEC,Embedding,6924,0.935,0.954,0.881,0.9,0.382,0.313,0.434,0.527,0.585,0.923,0.904,0.407,0.51,100,100
scMDC,Embedding,6924,0.88,0.913,0.925,0.978,0.285,0.595,0.534,0.731,0.679,0.984,0.987,0.305,0.495,100,100
scMVAE,Embedding,6924,0.875,0.875,0.976,0.989,0.236,0.395,0.476,0.604,0.626,0.95,0.941,0.674,0.602,100,100
scMVP,Embedding,6924,0.875,0.869,0.959,0.98,0.192,0.517,0.475,0.713,0.683,0.98,0.984,0.585,0.524,100,100
Seurat v4 WNN,Graph,6924,NA,NA,0.983,0.98,0.258,0.59,0.485,0.741,0.678,0.987,0.989,NA,NA,100,100
uniPort,Embedding,6924,0.861,0.899,0.884,0.878,0.381,0.466,0.524,0.654,0.664,0.959,0.958,0.531,0.454,100,100
